ID	Tipo símbolo	Tipo dato	Ámbito	Línea	Columna
saludar	Función	void	Global	6	24
obtenerNumero	Función	int	Global	9	23
saludarPersona	Función	void	Global	10	24
sumar	Función	int	Global	13	23
factorial	Función	int	Global	16	23
fibonacci	Función	int	Global	20	23
hanoi	Función	void	Global	24	24
main	Función	void	Global	35	24
nombre	Variable	String	saludarPersona	10	46
a	Variable	int	sumar	13	33
b	Variable	int	sumar	13	40
n	Variable	int	factorial	16	37
n	Variable	int	fibonacci	20	37
n	Variable	int	hanoi	24	34
origen	Variable	String	hanoi	24	44
auxiliar	Variable	String	hanoi	24	59
destino	Variable	String	hanoi	24	76
puntos	Variable	double	main	36	16
p131	Variable	double	main	42	16
n	Variable	int	main	46	13
p132	Variable	double	main	57	16
s	Variable	int	main	60	13
p133	Variable	double	main	71	16
fact5	Variable	int	main	72	13
fib10	Variable	int	main	73	13
p134	Variable	double	main	83	16
entero	Variable	int	main	84	13
p135	Variable	double	main	98	16
f1	Variable	double	main	99	16
f2	Variable	double	main	100	16
p136	Variable	double	main	113	16
sv	Variable	String	main	114	16
